_id,email,location,sector,role,established_dt,type_dt_other,assurance_meaning,assurance_mechanisms[0],assurance_mechanisms[1],assurance_mechanism_other,assured_properties[0],assured_properties[1],assured_properties_other,asset_data_sharing,partner_trust_difficulty,partner_trust_challenges[0],preparedness_for_argument,communication_impact,communication_methods[0],communication_methods[1],integrate_assurance,link_assurance_activities,satisfaction_justification,ethical_framework_existence,familiarity_with_gemini_principles,value_of_guiding_principles,framework_description,framework_development,benefits_of_visual_tool,need_for_visual_tool,reasons_against_visual_tool,operationalization_challenges,support_for_assurance[0],support_for_assurance[1],support_for_assurance_other,ranking_support_options,modification_date,consent_0,consent_1,consent_2,consent_3,consent_4,consent_5,consent_6,consent_7,consent_8,consent_9,project_interest,workshop_interest,challenge_curation,challenge_evolution,challenge_federation,challenge_good,challenge_insight,challenge_openness,challenge_quality,challenge_security,challenge_value,relevance_curation,relevance_evolution,relevance_federation,relevance_good,relevance_insight,relevance_openness,relevance_quality,relevance_security,relevance_value
26,ljxhtdqmfg@example.com,France,Renewable Energy,Compliance Officer/Regulatory Affairs Manager,Indirectly (We support clients or provide components for their digital twins),TAEiEOyQlp,yrfRipBvICNPVlMneFzxZELegqLtJAGUuNTANOtlsEHGdJaKCM,None,"Information Security Reviews (e.g., safeguarding data and systems)",GSzWVqMFiE,Accountability,Safety,EvreDjMETt,Yes,Somewhat Easy,Client Sponsor,Somewhat unprepared,Strongly disagree,Not Systematically,Written Reports following established standards,Strongly agree,Strongly disagree,Very unsatisfied,I don’t know,Select,Very valuable,fdjBeXFIENBiZBmTZFeeHEwAsQQouzZqIrxZbDYlLxcvttRbJO,Reused existing framework / standards,xMnQWaJkvWoRmOLqAxpCDPOtrKoOiCckCmaljqBBBRrFRwfkrt,Yes,FMlaxwpGDJzODmIVAyCeMNGMznEBFyFSYdViOOqdrlgeyvHAqx,BNfpiMGgdTWTcXbsFbqMccxyKIGWLZUXhIEaNnSdyStdyLhBst,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Regulatory Clarity and Compliance Guidance,XExtDJzgSPFmjwTQXSrqWFYKDQslhSiDZEwaxmnmXYucXgOHbg,"['Step-by-Step Guidance / Skills Training', 'Value demonstration', 'Tools to easily create Assurance Cases', 'Business case justification', 'Regulatory Clarity and Compliance Guidance', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2023-01-17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Extremely challenging,Not challenging at all,Very challenging,Very challenging,Very challenging,Slightly challenging,Slightly challenging,Slightly challenging,Very challenging,Extremely Relevant,Moderately Relevant,Slightly Relevant,Moderately Relevant,Extremely Relevant,Slightly Relevant,Not Relevant,Very Relevant,Slightly Relevant
27,nnrrzeirgx@example.com,United Kingdom,Electricity,Ontology Engineer/Framework Architect,Yes,ZsjbsrDtBP,WkWBcBfpRmXTbLdqLlAQiUrlGiERrBZmNxnaUlhjEQBJBRkAzP,"Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)","Post-Implementation Evaluation (e.g., reviewing performance and outcomes after deployment)",tBaiAeVOYg,Value Creation,Transparency,FVdKRrXnul,Yes,Very Difficult,Loss of control of data,Somewhat unprepared,Agree,Non-standardized written Reports,Not Systematically,Neutral,Neutral,Neutral,No,I've heard of them but don't know much.,Extremely valuable,qrxnpPqhEVBggCOjOFkmWwsnXCINsMkgSjPNUiwkiTHCGdTyah,Developed by an external consultant,ocKkvERcbWFqBVWwmMFWVOBpZYsSRHcWBBgOcqHsIVNAGUxJLl,No,KeNvJnqfVbJvcpgOufsufjsbAYCqeiZhwxTOzgvxDyCfozKqlx,UXXDRbKpJdsfnumdfKghZJlKjsrTSdjshAWdGhOaNgIDrYFMNb,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Regulatory Clarity and Compliance Guidance,cAwwwIojQFjfLzrYnuvPiuIXrcHHZzXcjzqcBdHqWBfWNZDczx,"['Business case justification', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training', 'Tools to easily create Assurance Cases', 'Awareness Programs for Assurance', 'Value demonstration']",2020-06-24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely challenging,Extremely challenging,Moderately challenging,Slightly challenging,Not challenging at all,Moderately challenging,Very challenging,Moderately challenging,Moderately challenging,Moderately Relevant,Slightly Relevant,Extremely Relevant,Moderately Relevant,Extremely Relevant,Slightly Relevant,Not Relevant,Extremely Relevant,Extremely Relevant
28,rcabmzlxfw@example.com,Sweden,Water,Compliance Officer/Regulatory Affairs Manager,Yes,TjVSyayNYy,VqbIDFrCiZMiWuajgGCGSehCHTBAboeOtpmHUjXyvtdHECJEdS,None,"Data Quality Checks (e.g., ensuring accuracy and reliability of data)",bImlWDIRGF,Fairness,Fairness,LYjiNmrxfx,No,Very Easy,Intellectual Property Rights,Neutral,Strongly agree,Not Systematically,Interactive Platforms,Agree,Strongly disagree,Neutral,Yes  / Something similar,I incorporate them in my work as guidelines.,Moderately valuable,YrpppaLSRzytNdZTBERZncdyspLzuWmDAgEoDDJpeKwbfypPPP,Internal governance process,cwnDmjrFlAuhDHESzCSbybGHemLsqEZnHfelewGkubHHmkovoe,I need to know more about this tool to decide,VeDNANprXHlgEWdhYfDQfRIoeamVcxAZcTAYWmZhWXPCFgALMe,zfeVZdgrysjNIGNsPLERRhVLBPoQMOTtuBjIJovswBQkIaQAYJ,Value demonstration,Other (Please specify),tpkTjahTmDMaKtlDhiHDbomUjEKgSCuuqJOPsgHHOJBNiCRahe,"['Regulatory Clarity and Compliance Guidance', 'Business case justification', 'Awareness Programs for Assurance', 'Step-by-Step Guidance / Skills Training', 'Value demonstration', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Tools to easily create Assurance Cases']",2020-04-29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not challenging at all,Very challenging,Extremely challenging,Very challenging,Moderately challenging,Moderately challenging,Not challenging at all,Very challenging,Very challenging,Moderately Relevant,Slightly Relevant,Slightly Relevant,Not Relevant,Slightly Relevant,Moderately Relevant,Extremely Relevant,Very Relevant,Moderately Relevant
29,ehtiizokvj@example.com,United Kingdom,Buildings,Industry Consultant/Advisor,Indirectly (We support clients or provide components for their digital twins),THJeINltfY,DQvKVpuxGclthrJyLVvheVTqvYdwayueHlcSbLXWUShQJJhQTI,"Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)",None,oHszfcRmLn,Ethical Integrity,Contestability,VaGXxQPOjC,Yes,Somewhat Difficult,Competition,Very prepared,Agree,Not Systematically,Other,Strongly disagree,Agree,Somewhat satisfied,I don’t know,I have helped develop them.,Moderately valuable,qmgYaADdFzDUtBVrAeIwAFQOilbaXqiFxYMItQEVZaOwamfsAS,"Consensus-based process (e.g., collaborative efforts of industry consortia)",JNlDCanVQmtfoRpXHcHMaBLPIUmBToRMKthwNqhMtUnTQFtqQF,Yes,zLuFTiLYwnsLMvIducluFBjrWcVkXHjwoYZiFSHotPbsUcOzWn,ytlJoGZDzUdLxKBGhCpNvjnYhkOpIjXnNEjWSqpZFXwRRrQyOA,Business case justification,Regulatory Clarity and Compliance Guidance,nCTtILEAtYESmJubFRepFtEeLymFhcxIdhkIoZdIEVjgZBZnKx,"['Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance', 'Value demonstration', 'Business case justification']",2020-01-11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Extremely challenging,Extremely challenging,Moderately challenging,Slightly challenging,Very challenging,Very challenging,Extremely challenging,Slightly challenging,Not challenging at all,Not Relevant,Slightly Relevant,Moderately Relevant,Moderately Relevant,Moderately Relevant,Very Relevant,Moderately Relevant,Slightly Relevant,Very Relevant
30,xbhrkzimvu@example.com,United Kingdom,Education,Industry Consultant/Advisor,Yes,hcVhWEkITS,VIIxuDlrKMMzOYidAdeOcsNgDldruMcrjIoOOSLgcQtUjNQNqr,"Service Continuity Management (e.g., ensuring ongoing operational reliability)",Stakeholder Feedback Systems,WHnPHZUeCC,Data Stewardship,Transparency,JiHjnOPCNV,Yes,Very Easy,Competition,Somewhat prepared,Disagree,Interactive Platforms,Digital Communications,Strongly agree,Strongly agree,Neutral,I don’t know,I've heard of them but don't know much.,Very valuable,bOFgyxSVTeXRYzYwYtuOuzRdrnztcZEuMlfDrkGBeFKrQdALGz,Reused existing framework / standards,XfFcMdwtbTRPxTjFRExwnQofISMfCUkFWUFwFZvlITKGlDmiEU,No,IhMKUhGCgSDlaDKMDPvLrOtnzGPfWfCoBmSncTqipRjjFVntut,CfifBfSHfNdzYZXGrjLtyYJXovDfNkrVuwQlKyxoocxwKUDYPw,Tools to easily create Assurance Cases,Other (Please specify),wDXqwmjKLqrLjvTFopbvqPVYXwLhTTBWGHdWThkzEoYfwZLHST,"['Awareness Programs for Assurance', 'Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Tools to easily create Assurance Cases', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Business case justification', 'Value demonstration']",2022-05-15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Slightly challenging,Moderately challenging,Not challenging at all,Slightly challenging,Moderately challenging,Extremely challenging,Not challenging at all,Extremely challenging,Very challenging,Not Relevant,Slightly Relevant,Very Relevant,Slightly Relevant,Moderately Relevant,Not Relevant,Not Relevant,Extremely Relevant,Not Relevant
31,xsyjsglswp@example.com,Sweden,Education,Researcher/Academic,Yes,tXXTHrWucu,msIXGBlzVgFWmvRKtvjqvzobwwPhnyfBtwgfysFoFucJWlYibT,"Formal Verification (e.g., rigorously proving system properties)","Formal Verification (e.g., rigorously proving system properties)",hiCDSlMqAO,Value Creation,Sustainability,OKwoZwtMrR,Yes,Not Applicable,Loss of control of data,Not prepared at all,Strongly agree,Visual Aids,Not Systematically,Neutral,Disagree,Neutral,No,I've heard of them but don't know much.,Slightly valuable,UMLlhRjYUfPgjiUkaWbhYMOKzmiCGMVCFCxLldnWmJVgDyhiMV,Reused existing framework / standards,wFwwJBEsZsZCxYzubVhZAnttEfzkWGBKVQuNkIoyTUQRNZuWgN,No,mJiRIjQTHhyDIPcUeDrMmXocTrImkXgPFmHcAgPHDLwpGEticQ,oqlqtwyiqjaPqEcnYYXBbzLVyWiYduXmIeviZjfJxqGWBUqhdm,Step-by-Step Guidance / Skills Training,Business case justification,yaZhElPbEExvbzqLQGeLkQfJdtOmWXRxIEWzCgHFclZOsfFoBx,"['Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance', 'Value demonstration', 'Business case justification', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance']",2023-09-12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Very challenging,Not challenging at all,Slightly challenging,Very challenging,Not challenging at all,Extremely challenging,Very challenging,Slightly challenging,Slightly challenging,Extremely Relevant,Not Relevant,Extremely Relevant,Slightly Relevant,Very Relevant,Extremely Relevant,Very Relevant,Moderately Relevant,Extremely Relevant
32,fkyomhnbnd@example.com,United Kingdom,Education,Other,Indirectly (We support clients or provide components for their digital twins),pKhhTFYtIQ,DvABmDXRHYRDmUQjmmUUykmQGEeWmirOBCMgvcNueWhqKxyMGY,"Service Continuity Management (e.g., ensuring ongoing operational reliability)",None,HekdnTFKTH,Explainability,Evolution,iqYKfGAqbd,Yes,Not Applicable,Loss of control of data,Not prepared at all,Strongly agree,Digital Communications,Non-standardized written Reports,Strongly agree,Strongly agree,Neutral,I don’t know,I incorporate them in my work as guidelines.,Slightly valuable,CstszTsVPiNBGTymGjNReTLfYswYGHAlJuRZJXVBKmnhNVDmOV,"Consensus-based process (e.g., collaborative efforts of industry consortia)",QiSItoNaOiJmuXlUCpeQgMZuKRokSYzjdBFBKYThNSZJZCxMaH,No,SpaiBETHtwkXOHUYimNgaWqVzrUVDxzDWdRgYMhVrByfCPPBUv,gqaCULfHfkaISjNwTLUMVGfRXWAzZIoysKQXCzeLSpmZbGArDG,Regulatory Clarity and Compliance Guidance,Value demonstration,ZmQVfaJeHfuDXTFRyMnfiQamyABForpPnnMzAHtDmWAtTBLvIH,"['Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Awareness Programs for Assurance', 'Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Business case justification', 'Tools to easily create Assurance Cases']",2021-07-01,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely challenging,Extremely challenging,Extremely challenging,Slightly challenging,Extremely challenging,Moderately challenging,Moderately challenging,Very challenging,Very challenging,Very Relevant,Extremely Relevant,Extremely Relevant,Not Relevant,Very Relevant,Very Relevant,Extremely Relevant,Moderately Relevant,Not Relevant
33,gwadtbhtkw@example.com,United Kingdom,Construction,Ontology Engineer/Framework Architect,Yes,wHCErOLicx,XYKivtoYHCfiINHhERLsIVJJoWWDSuBfpyjUUuTVriDVPmlZks,"Conformity Assessments (e.g., alignment with standards and expectations)","Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)",YxFjBgTcQW,Interoperability,Public Good,BoSLbXiTFw,Yes,Somewhat Difficult,Insufficient digital awareness/skills,Somewhat unprepared,Neutral,Not Systematically,Meetings,Neutral,Strongly disagree,Somewhat unsatisfied,I don’t know,I incorporate them in my work as guidelines.,Moderately valuable,TKehFBBAzhLdLbEZHzonlwTzYHbDUWwOIqwsbTrzCxQJvpMAXC,Select,RkkhDssmHpJSNGEDhVQQgLbYOffqQLQuGjylcthnzffyrzgVLp,No,gmhurWeiMDhZjfgadfNqMuMjrBRpuWuoclshAlolXRQoEIzdsn,JHyPIGNYEQoEpZIsryOJxnxwFPrLYSzMSRfWWGNFqihBQwtwqY,Awareness Programs for Assurance,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,ibrJrWXGoonqUxHippaJGBNwchklsOtLIiMuUaiJShzjdGBaLS,"['Value demonstration', 'Regulatory Clarity and Compliance Guidance', 'Business case justification', 'Awareness Programs for Assurance', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Tools to easily create Assurance Cases']",2020-04-15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Slightly challenging,Slightly challenging,Moderately challenging,Slightly challenging,Not challenging at all,Not challenging at all,Not challenging at all,Not challenging at all,Very challenging,Extremely Relevant,Very Relevant,Very Relevant,Not Relevant,Not Relevant,Not Relevant,Slightly Relevant,Moderately Relevant,Moderately Relevant
34,aueoarbwfs@example.com,United Kingdom,Electricity,Platform Developer,Yes,ydaiXFNLYg,hfDpDaPlQKZeYwxcssxAHFPKXFtqcLaMDBpAKlsZWpWtFvZBNF,"Compliance Audits (e.g., verifying adherence to laws and regulations)","Information Security Reviews (e.g., safeguarding data and systems)",zSmYDwjboE,Federation,Fairness,YXgFHrtUKw,Yes,Somewhat Easy,Loss of control of data,Neutral,Strongly disagree,Meetings,Non-standardized written Reports,Neutral,Strongly disagree,Neutral,Yes  / Something similar,I have helped develop them.,Slightly valuable,fOeqXNyRtZLWTMrMMfFNmpntddbvAFjqpRoOuQZOLrRMonhaSl,Developed by an external consultant,AqZBGFSReSESlbazcCBZCbpTaydIDYCqrdtmInQoyDrIKkeCMV,I need to know more about this tool to decide,HgcxYhysNMwClaYKeKKjcZxoxjWqcstryyZRMOUihiQcaJFjRg,IoYVqLcbZEfXXgMLGDqSgAdBSXgnEYMvSPZUVOdoRsceLfNGxv,Step-by-Step Guidance / Skills Training,Tools to easily create Assurance Cases,XjHJGIsBMJWnvuPZTUGpCGhNtOHBlKxNllbQoaNrwkrStEyXOl,"['Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Business case justification', 'Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance', 'Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Tools to easily create Assurance Cases']",2023-04-07,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely challenging,Not challenging at all,Very challenging,Moderately challenging,Extremely challenging,Moderately challenging,Moderately challenging,Slightly challenging,Moderately challenging,Slightly Relevant,Slightly Relevant,Not Relevant,Very Relevant,Moderately Relevant,Moderately Relevant,Extremely Relevant,Extremely Relevant,Not Relevant
35,jtyziljfnq@example.com,United Kingdom,Electricity,Industry Consultant/Advisor,Yes,NIpghxfLuh,VNYjspkegDqnTeSNbRmRpYrkKzXuqiVMqnDrnsVJcsjJtbHObq,"Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)","Information Security Reviews (e.g., safeguarding data and systems)",uDcdQVOwaU,Fairness,Value Creation,bKNEvgriiS,No,Neutral,Lack of trust in partner organisation,Somewhat unprepared,Agree,Meetings,Digital Communications,Neutral,Agree,Somewhat unsatisfied,No,I incorporate them in my work as guidelines.,Very valuable,lRiAvKxLCFAozgosrqaESggTiXLjXgTYQksYHqgFdBtKSsxzNA,"Consensus-based process (e.g., collaborative efforts of industry consortia)",HhnpetYfEDGczHqkhxXbbNSHdhOlCyKFYNMKKMbiiqVLZgOBem,No,guKAjwCKobhJoskZbtvlLYKAvfVOUfEGlHEcMBzBVWVUJPhciv,OozdTUVMzIOCWKZrhDxIOMUSyaIfcxXrPvcmzISmNUzZvXBUFV,Value demonstration,Step-by-Step Guidance / Skills Training,vtksavfvaWmphzwQqkFTMoELpFnLmHradwbzQHcLaluWoKppXv,"['Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Business case justification', 'Value demonstration', 'Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance']",2020-12-28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Moderately challenging,Moderately challenging,Moderately challenging,Extremely challenging,Extremely challenging,Moderately challenging,Slightly challenging,Not challenging at all,Very challenging,Extremely Relevant,Very Relevant,Slightly Relevant,Not Relevant,Not Relevant,Very Relevant,Slightly Relevant,Moderately Relevant,Slightly Relevant
36,mauldujsih@example.com,United Kingdom,Construction,Researcher/Academic,No,bUMVMARimX,NiWcutBLkRjciCPNwbtVrYxLikIXYGNwEwGknBarRqKeSyNaNk,"Data Quality Checks (e.g., ensuring accuracy and reliability of data)","Compliance Audits (e.g., verifying adherence to laws and regulations)",PNPbWKfMXl,None,Value Creation,dOsBWeKSJC,No,Not Applicable,Intellectual Property Rights,Somewhat prepared,Agree,Non-standardized written Reports,Not Systematically,Agree,Disagree,Very satisfied,Yes  / Something similar,I've seen them but don't use them in my work.,Extremely valuable,yZDGMlHnsjfnUMPwwkRyTpnsEslqtVENCkPPyEPkoJAIvevUGJ,Internal governance process,LLHggqXrGGqANKYVICEaaogwWXExWAIGLPnCJWSdiugIHZwzJS,No,QZSBuqbnhgMjVnTFSzlapykhnPsWEmTalOmezCTrQZxshkYMTO,ScdTHNsjxYsjQDTaHxBdVbVtowzbaNoOXhaPHmOcMTUFPcZVHE,Tools to easily create Assurance Cases,Business case justification,mvkMceDKRFqyrmiCEScMTVoihpnGlwbJhwTwpMMBdAnxxWuMAg,"['Regulatory Clarity and Compliance Guidance', 'Value demonstration', 'Tools to easily create Assurance Cases', 'Business case justification', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance']",2020-11-01,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Very challenging,Very challenging,Slightly challenging,Extremely challenging,Very challenging,Extremely challenging,Moderately challenging,Extremely challenging,Very challenging,Extremely Relevant,Moderately Relevant,Slightly Relevant,Very Relevant,Moderately Relevant,Very Relevant,Very Relevant,Slightly Relevant,Slightly Relevant
37,sbrwdyunwz@example.com,United Kingdom,Technology,Technical Manager/Lead Developer,Yes,RUpchtDEei,DFDDSemUZEfAvezNKsnQqbbUoZxPgtwDRXjOzVttPNTgfiXBht,"Formal Verification (e.g., rigorously proving system properties)","Service Continuity Management (e.g., ensuring ongoing operational reliability)",SghdhaKDhl,Robustness,Trustworthiness,hLpXRqXDmz,No,Somewhat Difficult,Loss of control of data,Neutral,Neutral,Visual Aids,Digital Communications,Agree,Agree,Somewhat satisfied,I don’t know,I've seen them but don't use them in my work.,Not valuable at all,lFDxewUNNqtqEopZsrsadWzxaqnEXCuSOEjeqPeZxOIQwuQGmt,Developed by an external consultant,uGNwUNgdaYynLOVssXPMTUCKjDiEFGXwdhSjIfyxUoeySmtpht,Yes,LGSRjRKNoiDJvepVNwMpETbYTJdnzsGukmhpWpZrXxsgPcYtgY,PaFJOfczUnfUphLaHBSrantNCxlTlgqQIYAEonfumRdPmixIic,Awareness Programs for Assurance,Awareness Programs for Assurance,DUrJgLhvtRwKtIOLnuRDSGIbXbmdOpzxnuucnjSPoIjUuUHUgY,"['Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Business case justification', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Awareness Programs for Assurance', 'Tools to easily create Assurance Cases']",2020-09-17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely challenging,Moderately challenging,Very challenging,Not challenging at all,Very challenging,Very challenging,Very challenging,Very challenging,Not challenging at all,Very Relevant,Moderately Relevant,Moderately Relevant,Very Relevant,Very Relevant,Slightly Relevant,Slightly Relevant,Very Relevant,Very Relevant
38,sqztrpajhj@example.com,United Kingdom,Education,Executive/Decision-Maker,Indirectly (We support clients or provide components for their digital twins),yQtHaeJJVc,cDMEzPLhThIdRooTkxuQqISjxCGHcoEwVVjMkGvFflUdCgCvCE,"Formal Verification (e.g., rigorously proving system properties)","Conformity Assessments (e.g., alignment with standards and expectations)",EmhWrZjkSm,Security,Explainability,cOLhOuqhrY,Yes,Very Easy,Lack of trust in partner organisation,Somewhat unprepared,Agree,Interactive Platforms,Digital Communications,Disagree,Agree,Neutral,I don’t know,I have helped develop them.,Moderately valuable,avOmEBJcpAorysVmBSmNKbVsdtjXHocrBRuRXOFifjtMjdOUEO,Internal governance process,JLsVxAfnasQNoiiCaORDjMxKjVGjLTkGuclSHnhaoBGdCWPWre,I need to know more about this tool to decide,xyiJfSudQsZybxWypkaILDTVmcFkVKOHZYJdGUNVBlZFQiitWe,eFwIyLSetpBWAwcbrDyCaMJXwUOVIQOChUSUkbaTilnfkyDNHW,Tools to easily create Assurance Cases,Business case justification,ERnqiTjjqArdEAZAFlIAWNNYYykpIKhlMqjCAxRAFoNeOwAzBC,"['Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance', 'Business case justification', 'Tools to easily create Assurance Cases', 'Awareness Programs for Assurance']",2022-07-05,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not challenging at all,Very challenging,Slightly challenging,Not challenging at all,Extremely challenging,Not challenging at all,Extremely challenging,Not challenging at all,Not challenging at all,Extremely Relevant,Very Relevant,Extremely Relevant,Very Relevant,Moderately Relevant,Extremely Relevant,Not Relevant,Extremely Relevant,Very Relevant
39,xlqupdledo@example.com,United Kingdom,Electricity,Researcher/Academic,Yes,gIkqZjPUAI,AIiyYNgcDsVNRvXfzUBIlTlmdVIgJdAtUNgORsPsAuahYOiOlz,"Formal Verification (e.g., rigorously proving system properties)","Formal Verification (e.g., rigorously proving system properties)",joCvmtaoet,Openness,Openness,yaxVYCmhMM,Yes,Somewhat Easy,Client Sponsor,Very prepared,Agree,Digital Communications,Meetings,Agree,Neutral,Somewhat satisfied,No,I have helped develop them.,Extremely valuable,IUpyFWNSPlfbVTiQCawQobziHQQuCmyhdhwZGVxADiNFSwAsuF,Adapted existing framework / standards,QwujxSVGhkpqvRoYCNmJBPBmDyLrSjtMTDVqWDMqqTQnrtZDor,Yes,CHsodLKvkTknYfGTeHYQdyVrfqeKOOJNrhEbMTPeMkSHGzLzqY,tnvXoJfQwtEPkbkldPEMFHQcBvtXBRDpYnTVzFfJioPWPRnXMS,Step-by-Step Guidance / Skills Training,Other (Please specify),zkEpnZKvqykOXQmbYBhtRIiAdRxJVKiWnyyGPMTohNDzWomUXe,"['Value demonstration', 'Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Awareness Programs for Assurance', 'Business case justification', 'Step-by-Step Guidance / Skills Training']",2021-09-09,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moderately challenging,Not challenging at all,Not challenging at all,Extremely challenging,Not challenging at all,Moderately challenging,Extremely challenging,Not challenging at all,Very challenging,Not Relevant,Very Relevant,Extremely Relevant,Moderately Relevant,Not Relevant,Very Relevant,Moderately Relevant,Slightly Relevant,Extremely Relevant
40,cfoyfqwgeh@example.com,United Kingdom,Renewable Energy,Platform Developer,Yes,zRnipcmNqQ,pzdWjJdEvQUNhJjRTolcLZaGGyWeLGBFVdjuTzNBGRsLgJFAxE,"Formal Verification (e.g., rigorously proving system properties)","Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)",izXcGBRbNM,Safety,Robustness,FOQBgbkOcM,Yes,Somewhat Difficult,Loss of control of data,Not prepared at all,Agree,Not Systematically,Interactive Platforms,Disagree,Strongly agree,Very satisfied,I don’t know,Select,Extremely valuable,xyAzAsuUMGRFwVtxhnweRfPfnFzKFnKVQBPxXJTrYtWyFUQqAN,Reused existing framework / standards,ACnOHIvWbLPGdrNvInlVQPGCmYCHJvvFDsWWBytffrvjrlNoLt,Yes,JdBlBwkVRnvJPDuZalfBohRmroTKCviXTVhBpdDownZDYHkoUs,CEBHkcrvnqOHAGkSQrfytsNIwRXduuCIFJPArJEQHIphESjaRM,Business case justification,Other (Please specify),vchdzTWUSrDShjqBktNiLxVWyEDISYdeseEJykJNrCdIyEamrT,"['Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Value demonstration', 'Business case justification', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance', 'Awareness Programs for Assurance']",2021-06-03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Extremely challenging,Not challenging at all,Moderately challenging,Extremely challenging,Extremely challenging,Extremely challenging,Extremely challenging,Very challenging,Not challenging at all,Extremely Relevant,Moderately Relevant,Slightly Relevant,Moderately Relevant,Slightly Relevant,Slightly Relevant,Not Relevant,Slightly Relevant,Very Relevant
